Client_ID,Office_ID,BSOD_count,Hard_reset_count,Boot_Speed,Logon_Duration,CPU_Usage,Memory_Usage,System_Free_Space
1,88,0,0,9824,8520,0.005,0,180269625344
1,124,0,11,204075,34036,0.001,0,190256279552
1,172,1,21,51930,15774,0,0,198199214080
1,732,0,0,167701,3633,0,0,198328692736
1,172,0,1,235541,19340,0.009,0,177966186496
1,674,1,2,48905,10334,0.001,0,198341156864
1,341,0,21,67234,12269,0.003,0,203764547584
1,476,0,0,123772,13466,0.003,0,189887942656
1,31,0,0,154494,18222,0.001,0,189559447552
1,31,0,2,10019,11067,0.007,0,178784735232
1,628,0,0,17873,7930,0.001,0,390887444480
1,476,0,20,90990,7495,0.002,0,186388795392
1,172,0,19,41417,14886,0,0,189636554752
1,88,0,0,142585,16538,0.005,0,202852450304
1,628,0,2,135034,16899,0,0,213857660928
1,124,0,0,156875,19692,0.004,0,186349416448
1,628,0,0,127042,14885,0,0.028,184604278784
1,124,0,0,122565,22181,0.007,0,191844466688
1,628,0,0,5886,14930,0.001,0,421770563584
1,124,0,0,31285,18281,0.003,0.031,163164872704
1,628,0,0,22219,8061,0,0,192474918912
1,628,0,0,38839,19673,0.001,0,211219656704
1,172,0,2,9337,15177,0.003,0,201638785024
1,27,0,0,10233,18394,0.002,0.008,156103217152
1,31,0,0,9899,11004,0,0,200836530176
1,31,0,0,185122,13275,0.004,0,196701941760
1,476,0,1,11582,16018,0,0,407419031552
1,172,0,2,12060,9172,0.114,0.114,137058332672
1,476,0,0,10698,6730,0,0,404628324352
1,476,0,14,12257,9014,0,0,387706273792
1,476,0,1,116285,8243,0.002,0,405492920320
1,640,0,0,89827,7147,0.197,0.016,355930009600
1,172,0,0,51640,20931,0.004,0,377216737280
1,27,0,0,13721,11865,0,0,0
1,341,0,0,37452,34506,0,0,176904617984
1,476,0,0,229874,15319,0.001,0,189930295296
1,172,0,9,200992,18952,0.008,0.205,112747339776
1,640,1,20,17340,7795,0,0,167049297920
1,476,0,0,20074,10672,0,0,394619015168
1,476,0,1,206126,336268,0.001,0,412538355712
1,476,0,0,20248,18094,0,0,403253260288
1,31,0,1,43909,13334,0.009,0,173107970048
1,172,0,0,62246,11414,0.006,0.681,105214283776
1,124,0,21,132552,16562,0.005,0,183649689600
1,31,0,0,60832,47532,0.022,0.007,146064441344
1,640,0,2,71326,11257,0.003,0,166424674304
1,674,0,0,11076,17385,0.001,0.007,27846283264
1,628,0,0,239273,3699,0,0,467286577152
1,27,0,1,40695,6644,0.001,0,212190240768
1,732,0,2,158781,9498,0,0,431683301376
1,732,0,0,153739,11205,0,0,430914924544
1,732,0,19,13069,20117,0,0,435761168384
1,732,0,0,11498,224114,0.002,0,433792282624
1,732,0,19,130035,5305,0.001,0,430516400128
1,476,0,0,152105,9345,0.001,0,431981711360
1,732,0,0,152304,7011,0.001,0,427167899648
1,732,0,0,129357,6051,0.002,0,431635304448
1,732,0,15,172614,9084,0,0,434817200128
1,124,0,0,46817,13905,0.005,0,168087752704
1,124,0,0,183742,16408,0,0,190764363776
1,520,0,0,20044,15211,0.005,0,240205598720
1,388,0,1,63862,10151,0.004,0,163304988672
1,640,0,0,12338,18482,0.01,0,178646597632
1,640,0,0,29129,13106,0.006,0.002,194903621632
1,172,0,0,13156,17931,0.002,0,43888181248
1,31,0,20,14304,16622,0.007,0,173609308160
1,88,0,0,16026,18017,0.002,0,83651317760
1,729,0,19,11332,8421,0,0,170147172352
